,iso_merged,SHAPE_Leng,SHAPE_Area
0,AE,16.7319231795,6.60261295457
1,AF,50.8032097212,62.5667138699
2,AG,0.922558104166,0.0644912217849
3,AG,0.819390495338,0.0480606586297
4,AI,0.758840262107,0.0359364850735
5,AL,9.59821654483,3.23877672972
6,AL,0.000556305696524,2.53186389805e-10
7,AL,0.000743939596775,5.03300549453e-10
8,AL,0.000626860216709,3.28217014185e-10
9,AM,0.239699630375,0.00365196778219
10,AM,11.9214172526,3.1386385586
11,AO,54.3754415452,103.891772528
12,AO,4.33086948485,0.607967106224
13,AR,2.43585031346,0.184589301161
14,AR,13.0433779874,3.2873191304
15,AR,0.00304730823374,1.74649643662e-10
16,AR,0.00208494540357,2.31337489278e-10
17,AR,0.943386322445,0.0586405704494
18,AR,119.898674807,277.641114348
19,AT,22.0679371029,10.0394406874
20,AU,14.3286927449,8.01240026745
21,AU,2.89963081046,0.361209504138
22,AU,1.78821829998,0.208983716618
23,AU,4.08279440362,0.629374051429
24,AU,0.882256855815,0.0546294025898
25,AU,0.801337890065,0.0434173247986
26,AU,1.8542467498,0.17460715159
27,AU,3.02773876315,0.316820104554
28,AU,4.44127782934,0.861596608719
29,AU,2.18858504738,0.137046946597
30,AU,185.133638307,696.208458664
31,AU,0.767557611417,0.0443998018993
32,AU,0.708636303628,0.0389168447373
33,AW,0.896847766031,0.0509820571851
34,AZ,3.8825512179,0.544483653577
35,AZ,0.10701872224,0.000603000598453
36,AZ,0.200605216803,0.00282867670328
37,AZ,24.4597730205,17.0719577623
38,BA,13.0905842004,5.7984328496
39,BB,1.09921520329,0.0809464861718
40,BD,0.977226970117,0.0662165943805
41,BD,30.6087059666,12.7924798716
42,BE,12.1586867608,3.93927779288
43,BF,27.0074227239,22.634154198
44,BG,20.505283111,12.3710229663
45,BH,0.625685992224,0.023862830941
46,BH,1.50709740868,0.122180929523
47,BI,7.71475020254,2.2123870484
48,BJ,17.2944278176,9.62362660572
49,BL,0.512023177758,0.0190894916362
50,BM,0.697024379078,0.0284614985572
51,BN,5.20896134487,0.542427640812
52,BO,52.4836872394,92.1901046012
53,BQ,1.11393701321,0.0705634926153
