,filename,Source,Location_I,City,State,Country,Latitude,Longitude,Time_Zone,Elevation
89,USA MA Provincetown (awos) (TMY3).csv,TMY3,725073,Provincetown (awos),MA,USA,42.067,-70.217,-5,2
90,USA KS Manhattan Rgnl (TMY3).csv,TMY3,724555,Manhattan Rgnl,KS,USA,39.133,-96.667,-6,330
91,USA KS Hill City Municipal Ap (TMY3).csv,TMY3,724655,Hill City Municipal Ap,KS,USA,39.383,-99.833,-6,667
92,USA MN Silver Bay (TMY3).csv,TMY3,727556,Silver Bay,MN,USA,47.2,-91.4,-6,331
93,USA MN Worthington (awos) (TMY3).csv,TMY3,726587,Worthington (awos),MN,USA,43.65,-95.583,-6,480
94,USA NH Laconia Muni (awos) (TMY3).csv,TMY3,726155,Laconia Muni (awos),NH,USA,43.567,-71.417,-5,166
95,USA AZ Douglas Bisbee-douglas Intl A (TMY3).csv,TMY3,722735,Douglas Bisbee-douglas Intl A,AZ,USA,31.467,-109.6,-7,1249
96,USA WY Lander Hunt Field (TMY3).csv,TMY3,725760,Lander Hunt Field,WY,USA,42.817,-108.733,-7,1694
97,USA AZ Davis Monthan Afb (TMY3).csv,TMY3,722745,Davis Monthan Afb,AZ,USA,32.167,-110.883,-7,809
98,USA PA Erie International Ap (TMY3).csv,TMY3,725260,Erie International Ap,PA,USA,42.083,-80.183,-5,222
99,USA WA Pasco (TMY3).csv,TMY3,727845,Pasco,WA,USA,46.267,-119.117,-8,136
100,USA KY Paducah Barkley Regional Ap (TMY3).csv,TMY3,724350,Paducah Barkley Regional Ap,KY,USA,37.05,-88.767,-6,124
101,USA WA Stampede Pass (TMY3).csv,TMY3,727815,Stampede Pass,WA,USA,47.283,-121.333,-8,1206
102,USA PA Altoona Blair Co Arpt (TMY3).csv,TMY3,725126,Altoona Blair Co Arpt,PA,USA,40.3,-78.317,-5,451
103,USA AZ Kingman (amos) (TMY3).csv,TMY3,723700,Kingman (amos),AZ,USA,35.267,-113.95,-7,1033
104,USA WI Madison Dane Co Regional Arpt [isis] (TMY3).csv,TMY3,726410,Madison Dane Co Regional Arpt [isis],WI,USA,43.13,-89.33,-6,262
105,USA KS Garden City Municipal Ap (TMY3).csv,TMY3,724515,Garden City Municipal Ap,KS,USA,37.933,-100.717,-6,878
106,USA VT Burlington International Ap (TMY3).csv,TMY3,726170,Burlington International Ap,VT,USA,44.467,-73.15,-5,101
107,USA CO La Junta Municipal Ap (TMY3).csv,TMY3,724635,La Junta Municipal Ap,CO,USA,38.05,-103.533,-7,1281
108,USA IA Chariton (TMY3).csv,TMY3,725469,Chariton,IA,USA,41.033,-93.367,-6,320
109,USA CA Stockton Metropolitan Arpt (TMY3).csv,TMY3,724920,Stockton Metropolitan Arpt,CA,USA,37.9,-121.233,-8,7
110,USA AL Birmingham Municipal Ap (TMY3).csv,TMY3,722280,Birmingham Municipal Ap,AL,USA,33.567,-86.75,-6,189
111,USA IA Fort Madison (TMY3).csv,TMY3,725483,Fort Madison,IA,USA,40.667,-91.333,-6,221
112,USA PA Pittsburgh Allegheny Co Ap (TMY3).csv,TMY3,725205,Pittsburgh Allegheny Co Ap,PA,USA,40.35,-79.917,-5,380
113,USA WA Fairchild Afb (TMY3).csv,TMY3,727855,Fairchild Afb,WA,USA,47.633,-117.65,-8,743
114,USA NJ Trenton Mercer County Ap (TMY3).csv,TMY3,724095,Trenton Mercer County Ap,NJ,USA,40.283,-74.817,-5,65
115,USA WA Felts Fld (TMY3).csv,TMY3,727856,Felts Fld,WA,USA,47.683,-117.317,-8,610
116,USA TX Cotulla Faa Ap (TMY3).csv,TMY3,722526,Cotulla Faa Ap,TX,USA,28.45,-99.217,-6,141
117,USA AR Jonesboro Muni (TMY3).csv,TMY3,723407,Jonesboro Muni,AR,USA,35.833,-90.65,-6,82
118,USA NV Tonopah Airport (TMY3).csv,TMY3,724855,Tonopah Airport,NV,USA,38.067,-117.083,-8,1655
119,USA WV Huntington Tri-state Arpt (TMY3).csv,TMY3,724250,Huntington Tri-state Arpt,WV,USA,38.383,-82.55,-5,253
120,USA MT Glasgow Intl Arpt (TMY3).csv,TMY3,727680,Glasgow Intl Arpt,MT,USA,48.217,-106.617,-7,699
121,USA FL Marathon Airport (TMY3).csv,TMY3,722016,Marathon Airport,FL,USA,24.733,-81.05,-5,2
122,USA NE Grand Island Central Ne Regio (TMY3).csv,TMY3,725520,Grand Island Central Ne Regio,NE,USA,40.967,-98.317,-6,561
123,USA TX Mc Gregor (awos) (TMY3).csv,TMY3,722563,Mc Gregor (awos),TX,USA,31.483,-97.317,-6,180
124,USA MI Flint Bishop Intl Arpt (TMY3).csv,TMY3,726370,Flint Bishop Intl Arpt,MI,USA,42.967,-83.75,-5,234
125,USA NE Valentine Miller Field (TMY3).csv,TMY3,725670,Valentine Miller Field,NE,USA,42.867,-100.55,-6,789
126,USA NE Ord Sharp Field (TMY3).csv,TMY3,725524,Ord Sharp Field,NE,USA,41.617,-98.95,-6,631
127,USA CA South Lake Tahoe (TMY3).csv,TMY3,725847,South Lake Tahoe,CA,USA,38.9,-120.0,-8,1909
128,USA VA Newport News (TMY3).csv,TMY3,723086,Newport News,VA,USA,37.133,-76.5,-5,13
129,USA CT Bridgeport Sikorsky Memorial (TMY3).csv,TMY3,725040,Bridgeport Sikorsky Memorial,CT,USA,41.183,-73.15,-5,3
130,USA NM Truth Or Consequences Muni Ap (TMY3).csv,TMY3,722710,Truth Or Consequences Muni Ap,NM,USA,33.233,-107.267,-7,1478
131,USA MS Meridian Naas (TMY3).csv,TMY3,722345,Meridian Naas,MS,USA,32.55,-88.567,-6,83
132,USA TN Jackson Mckellar-sipes Regl A (TMY3).csv,TMY3,723346,Jackson Mckellar-sipes Regl A,TN,USA,35.6,-88.917,-6,132
133,USA MN Albert Lea (awos) (TMY3).csv,TMY3,726589,Albert Lea (awos),MN,USA,43.683,-93.367,-6,383
134,USA UT Ogden Hinkley Airport (TMY3).csv,TMY3,725750,Ogden Hinkley Airport,UT,USA,41.2,-112.017,-7,1362
135,USA WV Harrison Marion Rgn (TMY3).csv,TMY3,724175,Harrison Marion Rgn,WV,USA,39.283,-80.233,-5,380
136,USA NC Cape Hatteras Nws Bldg (TMY3).csv,TMY3,723040,Cape Hatteras Nws Bldg,NC,USA,35.267,-75.55,-5,3
137,USA NH Berlin Municipal (TMY3).csv,TMY3,726160,Berlin Municipal,NH,USA,44.583,-71.183,-5,353
138,USA ND Dickinson Municipal Ap (TMY3).csv,TMY3,727645,Dickinson Municipal Ap,ND,USA,46.8,-102.8,-7,788
139,USA OK Clinton-sherman (TMY3).csv,TMY3,723526,Clinton-sherman,OK,USA,35.333,-99.2,-6,586
140,USA MT Miles City Municipal Arpt (TMY3).csv,TMY3,742300,Miles City Municipal Arpt,MT,USA,46.433,-105.883,-7,801
141,USA TX El Paso International Ap [ut] (TMY3).csv,TMY3,722700,El Paso International Ap [ut],TX,USA,31.77,-106.5,-7,1186
142,USA CA Yuba Co (TMY3).csv,TMY3,724838,Yuba Co,CA,USA,39.1,-121.567,-8,19
143,USA FL Gainesville Regional Ap (TMY3).csv,TMY3,722146,Gainesville Regional Ap,FL,USA,29.7,-82.283,-5,41
144,USA NJ Newark International Arpt (TMY3).csv,TMY3,725020,Newark International Arpt,NJ,USA,40.717,-74.183,-5,3
145,USA LA Shreveport Regional Arpt (TMY3).csv,TMY3,722480,Shreveport Regional Arpt,LA,USA,32.45,-93.817,-6,77
146,USA NE Tekamah (asos) (TMY3).csv,TMY3,725527,Tekamah (asos),NE,USA,41.767,-96.167,-6,312
147,USA CA Mountain View Moffett Fld Nas (TMY3).csv,TMY3,745090,Mountain View Moffett Fld Nas,CA,USA,37.4,-122.05,-8,12
148,USA OR Lakeview (awos) (TMY3).csv,TMY3,725976,Lakeview (awos),OR,USA,42.167,-120.4,-8,1441
149,USA WI Rhinelander Oneida (TMY3).csv,TMY3,727415,Rhinelander Oneida,WI,USA,45.633,-89.467,-6,507
150,USA LA New Orleans Alvin Callender F (TMY3).csv,TMY3,722316,New Orleans Alvin Callender F,LA,USA,29.817,-90.017,-6,2
151,USA CA Beale Afb (TMY3).csv,TMY3,724837,Beale Afb,CA,USA,39.133,-121.433,-8,38
152,USA CO Craig-moffat (TMY3).csv,TMY3,725700,Craig-moffat,CO,USA,40.5,-107.533,-7,1915
153,USA MA Plymouth Municipal (TMY3).csv,TMY3,725064,Plymouth Municipal,MA,USA,41.917,-70.733,-5,45
154,USA KS Great Bend (awos) (TMY3).csv,TMY3,724517,Great Bend (awos),KS,USA,38.35,-98.867,-6,575
155,USA MA Barnstable Muni Boa (TMY3).csv,TMY3,725067,Barnstable Muni Boa,MA,USA,41.667,-70.283,-5,17
156,USA NY Glens Falls Ap (TMY3).csv,TMY3,725185,Glens Falls Ap,NY,USA,43.35,-73.617,-5,98
157,USA CA Lancaster Gen Wm Fox Field (TMY3).csv,TMY3,723816,Lancaster Gen Wm Fox Field,CA,USA,34.733,-118.217,-8,713
158,USA CA Fresno Yosemite Intl Ap (TMY3).csv,TMY3,723890,Fresno Yosemite Intl Ap,CA,USA,36.783,-119.717,-8,102
159,USA FL Whiting Field Naas (TMY3).csv,TMY3,722226,Whiting Field Naas,FL,USA,30.717,-87.017,-6,54
160,USA NH Dillant Hopkins (TMY3).csv,TMY3,726165,Dillant Hopkins,NH,USA,42.9,-72.267,-5,153
161,USA FL Jacksonville Nas (TMY3).csv,TMY3,722065,Jacksonville Nas,FL,USA,30.233,-81.667,-5,9
162,USA OR Eugene Mahlon Sweet Arpt [uo] (TMY3).csv,TMY3,726930,Eugene Mahlon Sweet Arpt [uo],OR,USA,44.05,-123.07,-8,109
163,USA KY London-corbin Ap (TMY3).csv,TMY3,724243,London-corbin Ap,KY,USA,37.083,-84.083,-5,362
164,USA TX Corpus Christi Nas (TMY3).csv,TMY3,722515,Corpus Christi Nas,TX,USA,27.683,-97.283,-6,6
165,USA MA Nantucket Memorial Ap (TMY3).csv,TMY3,725063,Nantucket Memorial Ap,MA,USA,41.25,-70.067,-5,14
166,USA WI Manitowac Muni Awos (TMY3).csv,TMY3,726455,Manitowac Muni Awos,WI,USA,44.133,-87.683,-6,198
167,USA UT Provo Muni (awos) (TMY3).csv,TMY3,725724,Provo Muni (awos),UT,USA,40.217,-111.717,-7,1369
168,USA PR San Juan Intl Arpt (TMY3).csv,TMY3,785260,San Juan Intl Arpt,PR,USA,18.417,-66.0,-4,19
169,USA HI Honolulu Intl Arpt (TMY3).csv,TMY3,911820,Honolulu Intl Arpt,HI,USA,21.317,-157.933,-10,2
170,USA IA Washington (TMY3).csv,TMY3,725454,Washington,IA,USA,41.283,-91.667,-6,230
171,USA TX Greenville Majors (TMY3).csv,TMY3,722588,Greenville Majors,TX,USA,33.067,-96.067,-6,163
172,USA MS Tupelo C D Lemons Arpt (TMY3).csv,TMY3,723320,Tupelo C D Lemons Arpt,MS,USA,34.267,-88.767,-6,110
173,USA ID Idaho Falls Fanning Field (TMY3).csv,TMY3,725785,Idaho Falls Fanning Field,ID,USA,43.517,-112.067,-7,1441
174,USA MT Lewistown Municipal Arpt (TMY3).csv,TMY3,726776,Lewistown Municipal Arpt,MT,USA,47.05,-109.45,-7,1263
175,USA GA Dekalb Peachtree (TMY3).csv,TMY3,722196,Dekalb Peachtree,GA,USA,33.867,-84.3,-5,313
176,USA NV Las Vegas Mccarran Intl Ap (TMY3).csv,TMY3,723860,Las Vegas Mccarran Intl Ap,NV,USA,36.083,-115.15,-8,648
177,USA PA State College [penn State - Surfrad] (TMY3).csv,TMY3,725128,State College [penn State - Surfrad],PA,USA,40.72,-77.93,-5,376
178,USA NH Concord Municipal Arpt (TMY3).csv,TMY3,726050,Concord Municipal Arpt,NH,USA,43.2,-71.5,-5,106
179,USA FL St Lucie Co Intl (TMY3).csv,TMY3,722103,St Lucie Co Intl,FL,USA,27.483,-80.367,-5,7
180,USA NE Kearney Muni (awos) (TMY3).csv,TMY3,725526,Kearney Muni (awos),NE,USA,40.733,-99.0,-6,649
181,USA CO Broomfield Jeffco [boulder - Surfrad] (TMY3).csv,TMY3,724699,Broomfield Jeffco [boulder - Surfrad],CO,USA,40.13,-105.24,-7,1689
182,USA MN Two Harbors (TMY3).csv,TMY3,727444,Two Harbors,MN,USA,47.05,-91.75,-6,328
183,USA CA Paso Robles Municipal Arpt (TMY3).csv,TMY3,723965,Paso Robles Municipal Arpt,CA,USA,35.667,-120.633,-8,244
184,USA TX Fort Worth Meacham (TMY3).csv,TMY3,722596,Fort Worth Meacham,TX,USA,32.817,-97.367,-6,209
185,USA TX Fort Hood (TMY3).csv,TMY3,722570,Fort Hood,TX,USA,31.133,-97.717,-6,280
186,USA WA Toledo-winlock Mem (TMY3).csv,TMY3,727926,Toledo-winlock Mem,WA,USA,46.483,-122.8,-8,113
187,USA WA Hoquiam Ap (TMY3).csv,TMY3,727923,Hoquiam Ap,WA,USA,46.983,-123.933,-8,4
188,USA CO Montrose Co. Arpt (TMY3).csv,TMY3,724765,Montrose Co. Arpt,CO,USA,38.5,-107.9,-7,1755
189,USA CA Concord Concord-buchanan Fiel (TMY3).csv,TMY3,724936,Concord Concord-buchanan Fiel,CA,USA,38.0,-122.05,-8,7
190,USA MD Baltimore Blt-washngtn Int'l (TMY3).csv,TMY3,724060,Baltimore Blt-washngtn Int'l,MD,USA,39.167,-76.683,-5,45
191,USA CA Bakersfield Meadows Field (TMY3).csv,TMY3,723840,Bakersfield Meadows Field,CA,USA,35.433,-119.05,-8,149
192,USA AR Stuttgart (awos) (TMY3).csv,TMY3,723416,Stuttgart (awos),AR,USA,34.6,-91.567,-6,68
193,USA MO Ft Lnrd Wd Aaf (TMY3).csv,TMY3,724457,Ft Lnrd Wd Aaf,MO,USA,37.75,-92.15,-6,351
194,USA FL St Petersburg Albert Whitted (TMY3).csv,TMY3,722104,St Petersburg Albert Whitted,FL,USA,27.767,-82.633,-5,2
195,USA OK Mcalester Municipal Ap (TMY3).csv,TMY3,723566,Mcalester Municipal Ap,OK,USA,34.9,-95.783,-6,232
196,USA WV Lewisburg Greenbrie (TMY3).csv,TMY3,724127,Lewisburg Greenbrie,WV,USA,37.867,-80.4,-5,702
197,USA NE Chadron Municipal Ap (TMY3).csv,TMY3,725636,Chadron Municipal Ap,NE,USA,42.833,-103.083,-7,1011
198,USA UT Hanksville (TMY3).csv,TMY3,724735,Hanksville,UT,USA,38.367,-110.717,-7,1313
199,USA MO Cape Girardeau Municipal Ap (TMY3).csv,TMY3,723489,Cape Girardeau Municipal Ap,MO,USA,37.233,-89.567,-6,103
200,USA IL Belleville Scott Afb (TMY3).csv,TMY3,724338,Belleville Scott Afb,IL,USA,38.55,-89.85,-6,135
201,USA WA Hanford (TMY3).csv,TMY3,727840,Hanford,WA,USA,46.567,-119.6,-8,223
202,USA IA Creston (TMY3).csv,TMY3,725474,Creston,IA,USA,41.017,-94.367,-6,394
203,USA TN Dyersburg Municipal Ap (TMY3).csv,TMY3,723347,Dyersburg Municipal Ap,TN,USA,36.017,-89.4,-6,103
204,USA KS Russell Municipal Ap (TMY3).csv,TMY3,724585,Russell Municipal Ap,KS,USA,38.883,-98.817,-6,566
205,USA KY Henderson City (TMY3).csv,TMY3,724238,Henderson City,KY,USA,37.817,-87.683,-6,117
206,USA AR Texarkana Webb Field (TMY3).csv,TMY3,723418,Texarkana Webb Field,AR,USA,33.45,-94.0,-6,110
207,USA MT Great Falls Intl Arpt (TMY3).csv,TMY3,727750,Great Falls Intl Arpt,MT,USA,47.467,-111.383,-7,1117
208,USA OH Cleveland Hopkins Intl Ap (TMY3).csv,TMY3,725240,Cleveland Hopkins Intl Ap,OH,USA,41.4,-81.85,-5,235
209,USA VA Norfolk International Ap (TMY3).csv,TMY3,723080,Norfolk International Ap,VA,USA,36.9,-76.2,-5,7
210,USA CO Rifle Garfield Rgnl (TMY3).csv,TMY3,725717,Rifle Garfield Rgnl,CO,USA,39.533,-107.717,-7,1691
211,USA ME Sanford Muni (awos) (TMY3).csv,TMY3,726064,Sanford Muni (awos),ME,USA,43.4,-70.717,-5,74
212,USA WI Lone Rock Faa Ap (TMY3).csv,TMY3,726416,Lone Rock Faa Ap,WI,USA,43.2,-90.183,-6,219
213,USA MN International Falls Intl Ap (TMY3).csv,TMY3,727470,International Falls Intl Ap,MN,USA,48.567,-93.4,-6,359
214,USA MI Oakland Co Intl (TMY3).csv,TMY3,726375,Oakland Co Intl,MI,USA,42.667,-83.417,-5,306
215,USA NY Niagara Falls Af (TMY3).csv,TMY3,725287,Niagara Falls Af,NY,USA,43.1,-78.95,-5,180
216,USA WI Minocqua Woodruff (TMY3).csv,TMY3,726404,Minocqua Woodruff,WI,USA,45.933,-89.733,-6,496
217,USA MN New Ulm Muni (awos) (TMY3).csv,TMY3,726567,New Ulm Muni (awos),MN,USA,44.317,-94.5,-6,308
218,USA FL Southwest Florida I (TMY3).csv,TMY3,722108,Southwest Florida I,FL,USA,26.533,-81.75,-5,9
219,USA FL Jacksonville Craig (TMY3).csv,TMY3,722068,Jacksonville Craig,FL,USA,30.333,-81.517,-5,12
220,USA WV Bluefield Mercer Co [nrel] (TMY3).csv,TMY3,724125,Bluefield Mercer Co [nrel],WV,USA,37.27,-81.24,-5,803
221,USA CA Hayward Air Term (TMY3).csv,TMY3,724935,Hayward Air Term,CA,USA,37.667,-122.117,-8,14
222,USA NC Hickory Regional Ap (TMY3).csv,TMY3,723145,Hickory Regional Ap,NC,USA,35.733,-81.383,-5,348
223,USA CT Groton New London Ap (TMY3).csv,TMY3,725046,Groton New London Ap,CT,USA,41.333,-72.05,-5,3
224,USA IA Red Oak (TMY3).csv,TMY3,725494,Red Oak,IA,USA,41.017,-95.267,-6,318
225,USA CA Red Bluff Municipal Arpt (TMY3).csv,TMY3,725910,Red Bluff Municipal Arpt,CA,USA,40.15,-122.25,-8,106
226,USA TX Abilene Dyess Afb (TMY3).csv,TMY3,690190,Abilene Dyess Afb,TX,USA,32.433,-99.85,-6,545
227,USA TX Palacios Municipal Ap (TMY3).csv,TMY3,722555,Palacios Municipal Ap,TX,USA,28.717,-96.25,-6,5
228,USA MI Benton Harbor Ross (TMY3).csv,TMY3,726355,Benton Harbor Ross,MI,USA,42.133,-86.433,-5,196
229,USA GA Brunswick Golden Is (TMY3).csv,TMY3,722136,Brunswick Golden Is,GA,USA,31.25,-81.467,-5,8
230,USA ID Pocatello Regional Ap (TMY3).csv,TMY3,725780,Pocatello Regional Ap,ID,USA,42.917,-112.567,-7,1353
231,USA CA Visalia Muni (awos) (TMY3).csv,TMY3,723896,Visalia Muni (awos),CA,USA,36.317,-119.4,-8,89
232,USA SC North Myrtle Beach Grand Stra (TMY3).csv,TMY3,747915,North Myrtle Beach Grand Stra,SC,USA,33.817,-78.717,-5,10
233,USA WA Tacoma Narrows (TMY3).csv,TMY3,727938,Tacoma Narrows,WA,USA,47.267,-122.583,-8,91
234,USA CA Redding Municipal Arpt (TMY3).csv,TMY3,725920,Redding Municipal Arpt,CA,USA,40.517,-122.317,-8,153
235,USA IA Webster City (TMY3).csv,TMY3,725478,Webster City,IA,USA,42.433,-93.867,-6,342
236,USA TX San Antonio Kelly Field Afb (TMY3).csv,TMY3,722535,San Antonio Kelly Field Afb,TX,USA,29.383,-98.583,-6,208
237,USA WY Casper Natrona Co Intl Ap (TMY3).csv,TMY3,725690,Casper Natrona Co Intl Ap,WY,USA,42.9,-106.467,-7,1627
238,USA WA Quillayute State Airport (TMY3).csv,TMY3,727970,Quillayute State Airport,WA,USA,47.933,-124.567,-8,55
239,USA NM Clayton Municipal Airpark (TMY3).csv,TMY3,723600,Clayton Municipal Airpark,NM,USA,36.45,-103.15,-7,1512
240,USA OK Stillwater Rgnl (TMY3).csv,TMY3,723545,Stillwater Rgnl,OK,USA,36.15,-97.083,-6,308
241,USA AR Memorial Fld (TMY3).csv,TMY3,723415,Memorial Fld,AR,USA,34.467,-93.1,-6,169
242,USA MO Farmington (TMY3).csv,TMY3,724454,Farmington,MO,USA,37.767,-90.4,-6,274
243,USA FL West Palm Beach Intl Arpt (TMY3).csv,TMY3,722030,West Palm Beach Intl Arpt,FL,USA,26.683,-80.1,-5,6
244,USA IA Estherville Muni (TMY3).csv,TMY3,726499,Estherville Muni,IA,USA,43.4,-94.75,-6,401
245,USA OK Vance Afb (TMY3).csv,TMY3,723535,Vance Afb,OK,USA,36.333,-97.917,-6,408
246,USA CO Aurora Buckley Field Angb (TMY3).csv,TMY3,724695,Aurora Buckley Field Angb,CO,USA,39.717,-104.75,-7,1726
247,USA MI Detroit Metropolitan Arpt (TMY3).csv,TMY3,725370,Detroit Metropolitan Arpt,MI,USA,42.217,-83.35,-5,194
248,USA FL Miami Opa Locka (TMY3).csv,TMY3,722024,Miami Opa Locka,FL,USA,25.9,-80.283,-5,3
249,USA TX Childress Municipal Ap (TMY3).csv,TMY3,723604,Childress Municipal Ap,TX,USA,34.433,-100.283,-6,595
250,USA AZ Winslow Municipal Ap (TMY3).csv,TMY3,723740,Winslow Municipal Ap,AZ,USA,35.033,-110.717,-7,1490
251,USA NY Binghamton Edwin A Link Field (TMY3).csv,TMY3,725150,Binghamton Edwin A Link Field,NY,USA,42.2,-75.983,-5,488
252,USA MS Gulfport Biloxi Int (TMY3).csv,TMY3,747685,Gulfport Biloxi Int,MS,USA,30.4,-89.067,-6,9
253,USA SC Beaufort Mcas (TMY3).csv,TMY3,722085,Beaufort Mcas,SC,USA,32.483,-80.717,-5,10
254,USA NV Winnemucca Municipal Arpt (TMY3).csv,TMY3,725830,Winnemucca Municipal Arpt,NV,USA,40.9,-117.8,-8,1310
255,USA MN Wheaton Ndb (awos) (TMY3).csv,TMY3,727533,Wheaton Ndb (awos),MN,USA,45.7,-96.5,-6,313
256,USA IL Moline Quad City Intl Ap (TMY3).csv,TMY3,725440,Moline Quad City Intl Ap,IL,USA,41.467,-90.517,-6,180
257,USA GA Alma Bacon County Ap (TMY3).csv,TMY3,722135,Alma Bacon County Ap,GA,USA,31.533,-82.5,-5,63
258,USA NM Holloman Afb (TMY3).csv,TMY3,747320,Holloman Afb,NM,USA,32.85,-106.1,-7,1248
259,USA WA Snohomish Co (TMY3).csv,TMY3,727937,Snohomish Co,WA,USA,47.9,-122.283,-8,189
260,USA IL Marion Regional (TMY3).csv,TMY3,724339,Marion Regional,IL,USA,37.75,-89.017,-6,144
261,USA CA Fullerton Municipal (TMY3).csv,TMY3,722976,Fullerton Municipal,CA,USA,33.867,-117.983,-8,29
262,USA AL Dothan Municipal Ap (TMY3).csv,TMY3,722268,Dothan Municipal Ap,AL,USA,31.233,-85.433,-6,98
263,USA VA Staunton Shenandoah (TMY3).csv,TMY3,724105,Staunton Shenandoah,VA,USA,38.267,-78.9,-5,366
264,USA TX Port Arthur Jefferson County (TMY3).csv,TMY3,722410,Port Arthur Jefferson County,TX,USA,29.95,-94.017,-6,5
265,USA TX Killeen Muni (awos) (TMY3).csv,TMY3,722575,Killeen Muni (awos),TX,USA,31.083,-97.683,-6,258
266,USA ID Salmon Lemhi (awos) (TMY3).csv,TMY3,726865,Salmon Lemhi (awos),ID,USA,45.117,-113.883,-7,1233
267,USA LA Monroe Regional Ap (TMY3).csv,TMY3,722486,Monroe Regional Ap,LA,USA,32.517,-92.033,-6,40
268,USA IA Algona (TMY3).csv,TMY3,725457,Algona,IA,USA,43.083,-94.267,-6,372
269,USA CA Van Nuys Airport (TMY3).csv,TMY3,722886,Van Nuys Airport,CA,USA,34.217,-118.483,-8,235
270,USA FL Sarasota Bradenton (TMY3).csv,TMY3,722115,Sarasota Bradenton,FL,USA,27.383,-82.55,-5,10
271,USA CA Salinas Municipal Ap (TMY3).csv,TMY3,724917,Salinas Municipal Ap,CA,USA,36.667,-121.6,-8,21
272,USA NC Asheville Regional Arpt (TMY3).csv,TMY3,723150,Asheville Regional Arpt,NC,USA,35.433,-82.533,-5,652
273,USA NE O`neill Baker Field (TMY3).csv,TMY3,725566,O`neill Baker Field,NE,USA,42.467,-98.683,-6,619
274,USA WA Spokane International Ap [cheney - Uo] (TMY3).csv,TMY3,727850,Spokane International Ap [cheney - Uo],WA,USA,47.49,-117.589,-8,777
275,USA AR Fayetteville Drake Field (TMY3).csv,TMY3,723445,Fayetteville Drake Field,AR,USA,36.0,-94.167,-6,381
276,USA MI Battle Creek Kellogg Ap (TMY3).csv,TMY3,725396,Battle Creek Kellogg Ap,MI,USA,42.3,-85.25,-5,283
277,USA VA Roanoke Regional Ap (TMY3).csv,TMY3,724110,Roanoke Regional Ap,VA,USA,37.317,-79.967,-5,350
278,USA CA Santa Barbara Municipal Ap (TMY3).csv,TMY3,723925,Santa Barbara Municipal Ap,CA,USA,34.433,-119.85,-8,3
279,USA ID Joslin Fld Magic Va [twin Falls - Uo] (TMY3).csv,TMY3,725866,Joslin Fld Magic Va [twin Falls - Uo],ID,USA,42.55,-114.35,-7,1200
280,USA ME Bangor International Ap (TMY3).csv,TMY3,726088,Bangor International Ap,ME,USA,44.8,-68.817,-5,56
281,USA RI Providence T F Green State Ar (TMY3).csv,TMY3,725070,Providence T F Green State Ar,RI,USA,41.717,-71.433,-5,16
282,USA PA Reading Spaatz Field (TMY3).csv,TMY3,725103,Reading Spaatz Field,PA,USA,40.367,-75.967,-5,104
283,USA TX Dallas-fort Worth Intl Ap (TMY3).csv,TMY3,722590,Dallas-fort Worth Intl Ap,TX,USA,32.9,-97.017,-6,171
284,USA MI Escanaba (awos) (TMY3).csv,TMY3,726480,Escanaba (awos),MI,USA,45.75,-87.033,-5,187
285,USA VA Abingdon (TMY3).csv,TMY3,724058,Abingdon,VA,USA,36.683,-82.033,-5,631
286,USA WY Cody Muni (awos) (TMY3).csv,TMY3,726700,Cody Muni (awos),WY,USA,44.517,-109.017,-7,1553
287,USA OH Zanesville Municipal Ap (TMY3).csv,TMY3,724286,Zanesville Municipal Ap,OH,USA,39.95,-81.9,-5,268
288,USA OR Pendleton E Or Regional Ap (TMY3).csv,TMY3,726880,Pendleton E Or Regional Ap,OR,USA,45.7,-118.833,-8,452
289,USA PR San Juan L M Marin Intl Ap (TMY3).csv,TMY3,785263,San Juan L M Marin Intl Ap,PR,USA,18.433,-66.0,-4,3
290,USA IL Quincy Muni Baldwin Fld (TMY3).csv,TMY3,724396,Quincy Muni Baldwin Fld,IL,USA,39.933,-91.2,-6,233
291,USA TX Georgetown (awos) (TMY3).csv,TMY3,722547,Georgetown (awos),TX,USA,30.683,-97.683,-6,240
292,USA TX Victoria Regional Ap (TMY3).csv,TMY3,722550,Victoria Regional Ap,TX,USA,28.867,-96.933,-6,35
293,USA GA Columbus Metropolitan Arpt (TMY3).csv,TMY3,722255,Columbus Metropolitan Arpt,GA,USA,32.517,-84.95,-6,120
294,USA HI Barbers Point Nas (TMY3).csv,TMY3,911780,Barbers Point Nas,HI,USA,21.317,-158.067,-10,15
295,USA CA Bishop Airport (TMY3).csv,TMY3,724800,Bishop Airport,CA,USA,37.367,-118.35,-8,1250
296,USA PR Eugenio Maria De Ho (TMY3).csv,TMY3,785145,Eugenio Maria De Ho,PR,USA,18.25,-67.15,-4,9
297,USA MA Chicopee Falls Westo (TMY3).csv,TMY3,744910,Chicopee Falls Westo,MA,USA,42.2,-72.533,-5,75
298,USA NV Mercury Desert Rock Ap [surfrad] (TMY3).csv,TMY3,723870,Mercury Desert Rock Ap [surfrad],NV,USA,36.63,-116.02,-8,935
299,USA SD Mitchell (awos) (TMY3).csv,TMY3,726545,Mitchell (awos),SD,USA,43.767,-98.033,-6,397
300,USA CA San Francisco Intl Ap (TMY3).csv,TMY3,724940,San Francisco Intl Ap,CA,USA,37.617,-122.4,-8,2
301,USA DE Dover Afb (TMY3).csv,TMY3,724088,Dover Afb,DE,USA,39.133,-75.467,-5,7
