,filename,Source,Location_I,City,State,Country,Latitude,Longitude,Time_Zone,Elevation
878,USA TX Alice Intl Ap (TMY3).csv,TMY3,722517,Alice Intl Ap,TX,USA,27.733,-98.033,-6,53
879,USA AL Huntsville Intl Jones Field (TMY3).csv,TMY3,723230,Huntsville Intl Jones Field,AL,USA,34.65,-86.783,-6,190
880,USA KS Topeka Forbes Field (TMY3).csv,TMY3,724565,Topeka Forbes Field,KS,USA,38.95,-95.667,-6,325
881,USA MS Golden Tri(awos) (TMY3).csv,TMY3,723307,Golden Tri(awos),MS,USA,33.45,-88.583,-6,80
882,USA OH Youngstown Regional Airport (TMY3).csv,TMY3,725250,Youngstown Regional Airport,OH,USA,41.25,-80.667,-5,360
883,USA WA Tacoma Mcchord Afb (TMY3).csv,TMY3,742060,Tacoma Mcchord Afb,WA,USA,47.15,-122.483,-8,88
884,USA NY Albany County Ap (TMY3).csv,TMY3,725180,Albany County Ap,NY,USA,42.75,-73.8,-5,84
885,USA MN Winona Muni (awos) (TMY3).csv,TMY3,726588,Winona Muni (awos),MN,USA,44.083,-91.7,-6,200
886,USA TX Corpus Christi Intl Arpt [ut] (TMY3).csv,TMY3,722510,Corpus Christi Intl Arpt [ut],TX,USA,27.88,-97.63,-6,6
887,USA AZ Show Low Municipal (TMY3).csv,TMY3,723747,Show Low Municipal,AZ,USA,34.267,-110.0,-7,1954
888,USA WA William R Fairchild (TMY3).csv,TMY3,727885,William R Fairchild,WA,USA,48.117,-123.5,-8,91
889,USA UT Moab Canyonlands [uo] (TMY3).csv,TMY3,724776,Moab Canyonlands [uo],UT,USA,38.58,-109.54,-7,1000
890,USA IA Clinton Muni (awos) (TMY3).csv,TMY3,725473,Clinton Muni (awos),IA,USA,41.833,-90.333,-6,216
891,USA IN Evansville Regional Ap (TMY3).csv,TMY3,724320,Evansville Regional Ap,IN,USA,38.05,-87.533,-6,116
892,USA TX Houston Ellington Afb [clear Lake - Ut] (TMY3).csv,TMY3,722436,Houston Ellington Afb [clear Lake - Ut],TX,USA,29.57,-95.09,-6,6
893,USA VA Manassas Muni(awos) (TMY3).csv,TMY3,724036,Manassas Muni(awos),VA,USA,38.717,-77.517,-5,59
894,USA NM Sierra Blanca Rgnl (TMY3).csv,TMY3,722683,Sierra Blanca Rgnl,NM,USA,33.467,-105.533,-7,2078
895,USA MN Eveleth Muni (awos) (TMY3).csv,TMY3,727474,Eveleth Muni (awos),MN,USA,47.4,-92.5,-6,421
896,USA FL Jacksonville Intl Arpt (TMY3).csv,TMY3,722060,Jacksonville Intl Arpt,FL,USA,30.5,-81.7,-5,8
897,USA NM Clovis Muni  (awos) (TMY3).csv,TMY3,722689,Clovis Muni  (awos),NM,USA,34.433,-103.083,-7,1284
898,USA WY Gillette Gillette-c (TMY3).csv,TMY3,726650,Gillette Gillette-c,WY,USA,44.35,-105.533,-7,1230
899,USA KY Somerset(awos) (TMY3).csv,TMY3,724354,Somerset(awos),KY,USA,38.0,-84.6,-5,283
900,USA MA North Adams (TMY3).csv,TMY3,725075,North Adams,MA,USA,42.7,-73.167,-5,201
901,USA KS Concordia Blosser Muni Ap (TMY3).csv,TMY3,724580,Concordia Blosser Muni Ap,KS,USA,39.55,-97.65,-6,448
902,USA WI Janesville Rock Co. (TMY3).csv,TMY3,726415,Janesville Rock Co.,WI,USA,42.617,-89.033,-6,246
903,USA IA Sheldon (TMY3).csv,TMY3,725495,Sheldon,IA,USA,43.217,-95.833,-6,432
904,USA IA Fort Dodge (awos) (TMY3).csv,TMY3,725490,Fort Dodge (awos),IA,USA,42.55,-94.183,-6,355
905,USA CA Imperial (TMY3).csv,TMY3,747185,Imperial,CA,USA,32.833,-115.583,-8,-17
906,USA IA Storm Lake (TMY3).csv,TMY3,725496,Storm Lake,IA,USA,42.6,-95.233,-6,454
907,USA NY New York Central Prk Obs Belv (TMY3).csv,TMY3,725033,New York Central Prk Obs Belv,NY,USA,40.783,-73.967,-5,40
908,USA TX Galveston Scholes (TMY3).csv,TMY3,722420,Galveston Scholes,TX,USA,29.3,-94.8,-6,16
909,USA KY Cincinnati Northern Ky Ap (TMY3).csv,TMY3,724210,Cincinnati Northern Ky Ap,KY,USA,39.05,-84.667,-5,265
910,USA CA Modesto City-county Ap (TMY3).csv,TMY3,724926,Modesto City-county Ap,CA,USA,37.633,-120.95,-8,30
911,USA CA Chula Vista Brown Field Naas (TMY3).csv,TMY3,722904,Chula Vista Brown Field Naas,CA,USA,32.583,-116.983,-8,159
912,USA OH Mansfield Lahm Municipal Arpt (TMY3).csv,TMY3,725246,Mansfield Lahm Municipal Arpt,OH,USA,40.817,-82.517,-5,395
913,USA GA Marietta Dobbins Afb (TMY3).csv,TMY3,722270,Marietta Dobbins Afb,GA,USA,33.917,-84.517,-5,330
914,USA WA Bellingham Intl Ap (TMY3).csv,TMY3,727976,Bellingham Intl Ap,WA,USA,48.8,-122.533,-8,45
915,USA WA Seattle Seattle-tacoma Intl A (TMY3).csv,TMY3,727930,Seattle Seattle-tacoma Intl A,WA,USA,47.467,-122.317,-8,122
916,USA NY Utica Oneida County Ap (TMY3).csv,TMY3,725197,Utica Oneida County Ap,NY,USA,43.15,-75.383,-5,217
917,USA OK Oklahoma City Wiley (TMY3).csv,TMY3,723544,Oklahoma City Wiley,OK,USA,35.533,-97.65,-6,396
918,USA TX Draughon Miller Cen (TMY3).csv,TMY3,722577,Draughon Miller Cen,TX,USA,31.15,-97.4,-6,213
919,USA OR La Grande Muni Ap (TMY3).csv,TMY3,726884,La Grande Muni Ap,OR,USA,45.283,-118.0,-8,827
920,USA ND Bismarck Municipal Arpt [isis] (TMY3).csv,TMY3,727640,Bismarck Municipal Arpt [isis],ND,USA,46.77,-100.77,-7,502
921,USA CA San Diego North Island Nas (TMY3).csv,TMY3,722906,San Diego North Island Nas,CA,USA,32.7,-117.2,-8,15
922,USA IA Dubuque Regional Ap (TMY3).csv,TMY3,725470,Dubuque Regional Ap,IA,USA,42.4,-90.7,-6,322
923,USA TX Abilene Regional Ap [ut] (TMY3).csv,TMY3,722660,Abilene Regional Ap [ut],TX,USA,32.47,-99.71,-6,530
